text,env_problems,pollution,treatment,climate,biomonitoring
There is the same tendency for compounds NH4 + as for inorganic nitrogen in total.,1,,,,
The major discharges are done by three main cities (Vinnitsa Khmelnitsky and Kirovograd). Here we can observe the direct dependency of discharges from the number of population.,1,1,,,
In the same time significant discharge of ammonia nitrogen is done from WWTPs in Vatutino Bashtanka Tulchin and Khrystynivka which is also related to their improper functioning.,1,1,1,,
To confirm this fact we provide the values of compounds NH4 + per EH which have the highest values in the above mentioned settlements ,1,1,,,
Similar to the other compounds of nitrogen its discharges in nitrate form are done by the biggest cities: Vinnitsya Khmelnitsky and Kirovograd,1,1,,,
The biggest discharge per EH is observed in Kirovograd and Khmilnyk - 188 kg/ and 179 kg/ accordingly.,1,1,,,
At the first part the concentrations of mineral forms of nitrogen are much higher comparing with the second part and in its composition ammonia forms of nitrogen dominate whereas at the second part nitrogen in form of nitrogen ions dominates.,1,1,,,
Based on this the conclusion was done that at the first part the increase of the concentrations of mineral nitrogen is caused by entering of significant number of wastewaters into the river.,1,1,,,
The worst conditions are observed at the part Khmelnitsky – Khmilnyk (Picture 2.8),1,1,,,
Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,1,1,1,,
During the process of nitrification around 46 mg 0/mg is spent which lead to significant reduction of oxygen concentrations in water and creates the threat of the lack of oxygen.,1,,,,1
The important factor of water bodies eutrofication which limits production of organic matter is phosphorus.,1,,,,1
The order of values of its organic forms established due to mineralization of autochtonal detritus and mineral forms entering due to allochthonous washing out is almost the same.,1,1,,,1
Mineralization of organic phosphorus in bottom sediments reaches 40–80% and as we found out during the project implementation it intensified in autumn-winter period.,1,,,,1
This leads to balance destruction between solid and liquid phases and causes the process of phosphorus compounds diffusion back into the water which takes place intensively in anaerobic conditions.,1,1,,,
In the Southern Bug basin the main part of the above mentioned compounds (71%) are discharged with wastewaters of Vinnistya Khmelnitsky Kirovograd Uman and Pervomaysk (Map 7).,1,1,1,,
It is worth of mentioning the low level of treatment of phosphor compounds in wastewater of Smoline Katerynopil Sazonivka Vatutino Kyrovograd and Khmelnitsky.,1,1,1,,
Dynamics of phosphate ions along the length of Southern Bug convincingly shows its priority entering with wastewaters of cities mainly Khmelnytsky and Khmilnyk.,1,1,,,
It is well known that phosphorus is one of the components of detergents and with wastewaters from the settlements enters the water bodies.,1,1,,,
Insignificant increase of the concentrations of min in lower part of the river should be further investigated. We can assume that it can be related wit not only wastewaters but also with diffusion of phosphate ions out of bottom sediments.,1,1,,,1
Most of the population of Southern Bug basin which is 3.08 million (73%) collects their wastewater into individual sewage tanks or dumps them directly on the landscape.,1,1,,,
Human extracts lead to discharge of nitrogen and organic matter in wastewater.,1,1,,,
Main part (86%) of phosphate ions in wastewaters comes with wastewaters of Smoline mine Ladyzhyn electric power station “Bos” Voznesensk (Picture 2.15). ,1,1,,,
Major part of nitrogen in nitrate form comes into surface waters with wastewaters of Ingul mine Smoline mine Ladyzhyn electric power station “BOS” in Voznesensk (Picture 2.14). ,1,1,,,
Compared with vodocanals discharging 488 tons / year of Nmineral and 52 tons / year of Pmineral compounds the total contribution of industrial is significantly lower: 86.2 tons / year and 8.1 tons / year correspondingly.,1,1,,,
In total 2.4 tons of nitrogen in inorganic forms and 1.6 tons of phosphates are received with the wastewaters of agricultural enterprises per year.,1,1,,,
From November to April the concentration of nitrate ions varied from 2 to 9 mg/dm3 and in September from 0.5 to 2 mg/dm3 except for the points down from the major pollutants discharges - Khmelnitsky and Vinnitsa water channels and Pervozvanivka village down from Ingulsk mine wastewater discharges.,1,1,,,
Thus Khmelnytsky carries the greatest risk for the deterioration of the ecological status in the Southern Bug river basin.,1,,,,
Large amount of wastewater leads to a sharp decrease in the concentration of dissolved oxygen (Pic. 2.24) The main amount of organic substances pollution assessed using BOD20 is also formed by contribution of three main cities: Vinnitsya Khmelnitsky and Kirovograd.,1,,,,
Here vegetation covers 12% of the whole area. 9% of them comprises forests about 2% - meadows and about 1% - bogs.,0,,,,1
Air circulation with which air displacement from Atlantic Arctic and Mediterranean is connected plays an important role in climate formation in the Southern Bug basin.,0,,,1,
In the upper and middle parts of the basin the climate is moderately continental.,0,,,1,
Climate of southern districts is influenced by the Black Sea and in the downstream of the river gradually changes to the drought climate.,0,,,1,
Considerable size of the basin from the north-west to the south-east causes noticeable differences in distribution of air temperature.,0,,,1,
Average annual air temperature varies from 7.1oC to 10.0oC.,0,,,1,
Average multi-annual air temperature in the upper and middle parts of the basin varies within 7.1-8.1oC.,0,,,1,
Maximum temperature in summer reaches 39oC minimum temperature in cold winter days – up to -38oC.,0,,,1,
For this part of the basin winter season is characterized by precipitations in the form of snow and frequent fogs.,0,,,1,
The average snow cover height is 10 to 15 cm. In some years winter can be long-lasting and severe.,0,,,1,
Spring is characterized by sharp transition from warming up to cooling down from dry to rainy weather.,0,,,1,
In May thunderstorms begin.,0,,,1,
Weather conditions of summer season are distinguished by considerable rise in temperature many bright days increased precipitation active thunderstorms.,0,,,1,
Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,0,,,1,
Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,0,,,1,
Lower part of the Southern Bug basin is located within the steppe zone of Ukraine with moderately continental climate characterized by warm summer and soft short winter.,0,,,1,
Here average annual air temperature varies from 8.00oC to 10.00oC. Maximum air temperature (up to 40.0oC) is observed in July-August minimum temperature (up to minus 35.0oC) is observed in January.,0,,,1,
In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,0,,,1,
The average height of snow cover is 5-8 cm. Frost penetration depth in the middle and lower part of the basin makes 20-50 cm.,0,,,1,
The average amount of precipitation in the lower part of the basin makes 470 mm to 540 mm. The relative average annual air humidity makes 60-65%.,0,,,1,
Ladyzhyn water storage reservoir due to its big volume and discharge of heated waters from heat power plan is characterized by intensification of biological processes and increase in biotope and biological diversity.,1,1,,,1
From the lower reaches of Ladyzhyn electric power plant to the upper course of Oleksandrivske water storage reservoir due to alternation of rapid and reach parts in conditions of quicker river flow and saturation of water with oxygen big diversity of biotic communities is observed.,0,,,,1
